source,replicate,isolate,inoculum,caz,avi,tpos,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,0,0,8.6,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,0.5,0.125,8.9,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,1,0.25,8.9,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,2,0.5,8.9,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,4,1,8.8,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,8,2,8.8,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,10,2.5,8.8,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,16,4,8.7,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,20,5,8.9,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,40,10,8.8,,,,,,,,,,,,,,,,,,,
pwder,1,KPC_B,150000,80,20,9.38,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,0,0,9.08,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,0.5,0.125,9.05,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,1,0.25,8.8,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,2,0.5,8.8,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,4,1,8.7,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,8,2,8.7,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,10,2.5,8.7,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,16,4,8.7,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,20,5,8.7,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,40,10,8.8,,,,,,,,,,,,,,,,,,,
pwder,2,KPC_B,150000,80,20,8.8,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,0,0,9.4,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,0.5,0.125,9.57,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,1,0.25,9.54,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,2,0.5,9.4,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,4,1,9.51,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,8,2,9.4,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,10,2.5,9.4,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,16,4,9.54,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,20,5,9.4,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,40,10,10.57,,,,,,,,,,,,,,,,,,,
pwder,1,ATCC,150000,80,20,17.42,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
