effect,d1,d2
9.25,0,0
16.75,0.25,0.5
17.25,0.5,0.5
24,1,0.5
24,2,0.5
24,4,0.5
24,8,0.5
9.15,0,0
17,0.25,0.5
21,0.5,0.5
9.25,0,0
9.33,0.25,0.25
9.5,0.5,0.25
14.17,1,0.25
24,2,0.25
24,4,0.25
9.15,0,0
9.15,0.5,0.25
11,1,0.25
9.6,0,0
23,1,2
24,2,2
24,4,2
9.6,0,0
10,1,1
12.5,2,1
24,4,1
10,0,0
10,1,0
10,1,0.25
21.5,1,0.5
24,1,1
9.66,0,0
9.66,1,0
11,2,0
10,0,0.25
12,0,0.5
10,1,0.25
23,1,0.5
24,2,0.25
24,2,0.5
9,0,0
9,1,0
11.5,2,0
9.5,0,0.25
13,0,0.5
21,1,0.5
22,2,0.25
24,2,0.5
9.5,0,0
9.5,1,0
21,0,0.5
24,1,0.5
9.66,0,0
11.25,2,0
11.17,0,0.5
24,1,0.5
24,2,0.25
9.1,0,0
15.66,2,0
9.5,0,0.25
11.33,0,0.5
24,1,0.5
24,2,0.25
10,0,0
10,2,0
17,4,0
11,0,1
12.33,2,1
24,2,2
24,4,1
24,4,2
9.5,0,0
9.66,2,0
18.5,4,0
10.9,0,1
22,0,2
15,2,1
24,2,2
24,4,1
10,0,0
10,2,0
10,0,1
18,0,2
13,2,1
24,2,2
10,0,0
17.25,0,2
24,2,2
9.58,0,0
24,4,0
10,0,1
20,0,2
15,2,1
24,2,2
9.83,0,0
10,0,0.25
13.83,0,0.5
24,0,1
9.83,0,0
9.83,0,0.25
12,0,0.5
24,0,1
8.7,0,0
9.66,0,0.25
9.25,0,0.5
9.83,0,1
20,0,2
24,0,4
