replicate,isolates,inoculum,tpos,ctz,avi,gent,source
1,KPCB,10000,9.25,0,0,0,comercial
1,KPCB,10000,16.75,0.25,0.06,0.5,comercial
1,KPCB,10000,17.25,0.5,0.125,0.5,comercial
1,KPCB,10000,24,1,0.25,0.5,comercial
1,KPCB,10000,24,2,0.5,0.5,comercial
1,KPCB,10000,24,4,1,0.5,comercial
1,KPCB,10000,24,8,2,0.5,comercial
2,KPCB,10000,9.15,0,0,0,comercial
2,KPCB,10000,17,0.25,0.06,0.5,comercial
2,KPCB,10000,21,0.5,0.125,0.5,comercial
3,KPCB,10000,9.25,0,0,0,comercial
3,KPCB,10000,9.33,0.25,0.06,0.25,comercial
3,KPCB,10000,9.5,0.5,0.125,0.25,comercial
3,KPCB,10000,14.17,1,0.25,0.25,comercial
3,KPCB,10000,24,2,0.5,0.25,comercial
3,KPCB,10000,24,4,1,0.25,comercial
4,KPCB,10000,9.15,0,0,0,comercial
4,KPCB,10000,9.15,0.5,0.125,0.25,comercial
4,KPCB,10000,11,1,0.25,0.25,comercial
1,KPCA,10000,9.6,0,0,0,comercial
1,KPCA,10000,23,1,0.25,2,comercial
1,KPCA,10000,24,2,0.5,2,comercial
1,KPCA,10000,24,4,1,2,comercial
2,KPCA,10000,9.6,0,0,0,comercial
2,KPCA,10000,10,1,0.25,1,comercial
2,KPCA,10000,12.5,2,0.5,1,comercial
2,KPCA,10000,24,4,1,1,comercial
5,KPCB,10000,10,0,0,0,comercial
5,KPCB,10000,10,1,0.25,0,comercial
5,KPCB,10000,10,1,0.25,0.25,comercial
5,KPCB,10000,21.5,1,0.25,0.5,comercial
5,KPCB,10000,24,1,0.25,1,comercial
6,KPCB,10000,9.66,0,0,0,comercial
6,KPCB,10000,9.66,1,0.25,0,comercial
6,KPCB,10000,11,2,0.5,0,comercial
6,KPCB,10000,10,0,0,0.25,comercial
6,KPCB,10000,12,0,0,0.5,comercial
6,KPCB,10000,10,1,0.25,0.25,comercial
6,KPCB,10000,23,1,0.25,0.5,comercial
6,KPCB,10000,24,2,0.5,0.25,comercial
6,KPCB,10000,24,2,0.5,0.5,comercial
7,KPCB,10000,9,0,0,0,comercial
7,KPCB,10000,9,1,0.25,0,comercial
7,KPCB,10000,11.5,2,0.5,0,comercial
7,KPCB,10000,9.5,0,0,0.25,comercial
7,KPCB,10000,13,0,0,0.5,comercial
7,KPCB,10000,21,1,0.25,0.5,comercial
7,KPCB,10000,22,2,0.5,0.25,comercial
7,KPCB,10000,24,2,0.5,0.5,comercial
8,KPCB,10000,9.5,0,0,0,comercial
8,KPCB,10000,9.5,1,0.25,0,comercial
8,KPCB,10000,21,0,0,0.5,comercial
8,KPCB,10000,24,1,0.25,0.5,comercial
9,KPCB,10000,9.66,0,0,0,comercial
9,KPCB,10000,11.25,2,0.5,0,comercial
9,KPCB,10000,11.17,0,0,0.5,comercial
9,KPCB,10000,24,1,0.25,0.5,comercial
9,KPCB,10000,24,2,0.5,0.25,comercial
10,KPCB,10000,9.1,0,0,0,comercial
10,KPCB,10000,15.66,2,0.5,0,comercial
10,KPCB,10000,9.5,0,0,0.25,comercial
10,KPCB,10000,11.33,0,0,0.5,comercial
10,KPCB,10000,24,1,0.25,0.5,comercial
10,KPCB,10000,24,2,0.5,0.25,comercial
3,KPCA,10000,10,0,0,0,comercial
3,KPCA,10000,10,2,0.5,0,comercial
3,KPCA,10000,17,4,1,0,comercial
3,KPCA,10000,11,0,0,1,comercial
3,KPCA,10000,12.33,2,0.5,1,comercial
3,KPCA,10000,24,2,0.5,2,comercial
3,KPCA,10000,24,4,1,1,comercial
3,KPCA,10000,24,4,1,2,comercial
4,KPCA,10000,9.5,0,0,0,comercial
4,KPCA,10000,9.66,2,0.5,0,comercial
4,KPCA,10000,18.5,4,1,0,comercial
4,KPCA,10000,10.9,0,0,1,comercial
4,KPCA,10000,22,0,0,2,comercial
4,KPCA,10000,15,2,0.5,1,comercial
4,KPCA,10000,24,2,0.5,2,comercial
4,KPCA,10000,24,4,1,1,comercial
5,KPCA,10000,10,0,0,0,comercial
5,KPCA,10000,10,2,0.5,0,comercial
5,KPCA,10000,10,0,0,1,comercial
5,KPCA,10000,18,0,0,2,comercial
5,KPCA,10000,13,2,0.5,1,comercial
5,KPCA,10000,24,2,0.5,2,comercial
6,KPCA,10000,10,0,0,0,comercial
6,KPCA,10000,17.25,0,0,2,comercial
6,KPCA,10000,24,2,0.5,2,comercial
7,KPCA,10000,9.58,0,0,0,comercial
7,KPCA,10000,24,4,1,0,comercial
7,KPCA,10000,10,0,0,1,comercial
7,KPCA,10000,20,0,0,2,comercial
7,KPCA,10000,15,2,0.5,1,comercial
7,KPCA,10000,24,2,0.5,2,comercial
11,KPCB,10000,9.83,0,0,0,comercial
11,KPCB,10000,10,0,0,0.25,comercial
11,KPCB,10000,13.83,0,0,0.5,comercial
11,KPCB,10000,24,0,0,1,comercial
12,KPCB,10000,9.83,0,0,0,comercial
12,KPCB,10000,9.83,0,0,0.25,comercial
12,KPCB,10000,12,0,0,0.5,comercial
12,KPCB,10000,24,0,0,1,comercial
8,KPCA,10000,8.7,0,0,0,comercial
8,KPCA,10000,9.66,0,0,0.25,comercial
8,KPCA,10000,9.25,0,0,0.5,comercial
8,KPCA,10000,9.83,0,0,1,comercial
8,KPCA,10000,20,0,0,2,comercial
8,KPCA,10000,24,0,0,4,comercial
