isolate,replicate,source,inoculum,tpos,caz,avi
KPC_B,1,powder,150,11.15,0,0
KPC_B,1,powder,150,10.10,2,0.5
KPC_B,1,powder,150,10.09,4,1
KPC_B,1,powder,150,10.10,8,2
KPC_B,1,powder,150,10.09,20,5
KPC_B,1,powder,150,10.09,40,10
KPC_B,1,powder,150,10.10,80,20
KPC_B,1,powder,150,10.25,100,25
KPC_B,1,powder,150,24,200,50
KPC_B,2,powder,150,11,0,0
KPC_B,2,powder,150,10.52,2,0.5
KPC_B,2,powder,150,10.52,4,1
KPC_B,2,powder,150,10.35,8,2
KPC_B,2,powder,150,10.35,20,5
KPC_B,2,powder,150,10.35,40,10
KPC_B,2,powder,150,10.35,80,20
KPC_B,2,powder,150,11.25,100,25
KPC_B,2,powder,150,24,200,50
