effect,d1,d2
9.33,0,0
9.17,0,1
9.17,0,2
9.17,0,4
10,0,10
9.58,0,0
9.58,0.1,0
9.58,0.5,0
9.58,1,0
9.58,1.5,0
9.58,2,0
10,2.5,0
9.83,5,0
9.58,0,0
9.25,1,0
9.33,1.5,0
9.17,2,0
9.66,2.5,0
9.66,5,0
9.58,0,0
9.2,0.5,0
9.12,1,0
9.33,1.5,0
9.17,2,0
9.5,5,0
9.33,0,0
24,2,0.5
24,2,1
24,2,2
19.75,1,0.5
24,1,1
24,1,2
24,1,0.25
24,1,0.125
24,0.5,0.25
19,0.5,0.125
9,0,0
24,1,0.25
24,1,0.125
24,0.5,0.25
24,0.5,0.125
9,0,0
24,1,0.25
24,1,0.125
24,0.5,0.25
24,0.5,0.125
9.66,0,0
11.83,0.25,0.03
11.83,0.25,0.06
12,0.25,0.125
11.83,0.5,0.06
11.5,0.5,0.03
9.5,0,0
11.83,0.25,0.03
11.83,0.25,0.06
11.83,0.5,0.06
9,0,0
11.5,0.25,0.03
9.3,0,0
13.33,1,0.125
13.25,0.5,0.125
13.1,0.5,0.06
13.5,0.25,0.25
13.17,1,0.06
13,1,0.03
9.3,0,0
13.5,1,0.125
13.25,0.5,0.125
13.66,0.5,0.06
13.17,0.25,0.25
13,1,0.06
13,1,0.03
9.3,0,0
13.5,1,0.06
12.75,0.5,0.125
13.6,1,0.125
