replicate,isolate,inoculum,tpos,conc,logconc,adj_conc
1,KPC_B,10000,8.46,0.1,-2,0.002380952
1,KPC_B,10000,8.33,0.25,-0.602059991,0.005952381
1,KPC_B,10000,8.33,0.5,-0.301029996,0.011904762
1,KPC_B,10000,8.5,1,0,0.023809524
1,KPC_B,10000,14,2,0.301029996,0.047619048
1,KPC_B,10000,24,4,0.602059991,0.095238095
2,KPC_B,10000,9,0.1,-2,0.002380952
2,KPC_B,10000,8.66,0.25,-0.602059991,0.005952381
2,KPC_B,10000,8.66,0.5,-0.301029996,0.011904762
2,KPC_B,10000,8.66,1,0,0.023809524
2,KPC_B,10000,14.17,2,0.301029996,0.047619048
2,KPC_B,10000,24,4,0.602059991,0.095238095
3,KPC_B,10000,9.58,0.1,-2,0.002380952
3,KPC_B,10000,9.48,0.25,-0.602059991,0.005952381
3,KPC_B,10000,9.5,0.5,-0.301029996,0.011904762
3,KPC_B,10000,10.5,1,0,0.023809524
3,KPC_B,10000,15.6,2,0.301029996,0.047619048
3,KPC_B,10000,24,4,0.602059991,0.095238095
4,KPC_B,10000,9.1,0.1,-2,0.002380952
4,KPC_B,10000,9.1,0.25,-0.602059991,0.005952381
4,KPC_B,10000,9.1,0.5,-0.301029996,0.011904762
4,KPC_B,10000,9.2,1,0,0.023809524
4,KPC_B,10000,14.5,2,0.301029996,0.047619048
4,KPC_B,10000,24,4,0.602059991,0.095238095
5,KPC_B,10000,9.1,0.1,-2,0.002380952
5,KPC_B,10000,9.1,0.25,-0.602059991,0.005952381
5,KPC_B,10000,9.1,0.5,-0.301029996,0.011904762
5,KPC_B,10000,9.1,1,0,0.023809524
5,KPC_B,10000,13.66,2,0.301029996,0.047619048
5,KPC_B,10000,24,4,0.602059991,0.095238095
1,KPC_NDM,10000,9.58,0.1,-2,0.002380952
1,KPC_NDM,10000,9.58,0.25,-0.602059991,0.005952381
1,KPC_NDM,10000,9.58,0.5,-0.301029996,0.011904762
1,KPC_NDM,10000,9.58,1,0,0.023809524
1,KPC_NDM,10000,9.58,2,0.301029996,0.047619048
1,KPC_NDM,10000,9.8,4,0.602059991,0.095238095
2,KPC_NDM,10000,9.58,0.1,-2,0.002380952
2,KPC_NDM,10000,9.58,0.25,-0.602059991,0.005952381
2,KPC_NDM,10000,9.58,0.5,-0.301029996,0.011904762
2,KPC_NDM,10000,9.2,1,0,0.023809524
2,KPC_NDM,10000,9.17,2,0.301029996,0.047619048
2,KPC_NDM,10000,9.66,4,0.602059991,0.095238095
3,KPC_NDM,10000,9.5,0.1,-2,0.002380952
3,KPC_NDM,10000,9.8,0.25,-0.602059991,0.005952381
3,KPC_NDM,10000,9.58,0.5,-0.301029996,0.011904762
3,KPC_NDM,10000,9.12,1,0,0.023809524
3,KPC_NDM,10000,9.17,2,0.301029996,0.047619048
3,KPC_NDM,10000,9.5,4,0.602059991,0.095238095
