replicate,isolates,inoculum,tpos,ctz,avi
1,KPCA,10000,9.4,0,0
1,KPCA,10000,9.4,1,0.25
1,KPCA,10000,9.25,2,0.5
1,KPCA,10000,17.66,4,1
1,KPCA,10000,24,8,2
2,KPCA,10000,9.4,0,0
2,KPCA,10000,9.4,1,0.25
2,KPCA,10000,9.2,2,0.5
2,KPCA,10000,14.17,4,1
2,KPCA,10000,24,8,2
3,KPCA,10000,9.4,0,0
3,KPCA,10000,9.4,1,0.25
3,KPCA,10000,9.4,2,0.5
3,KPCA,10000,14.1,4,1
3,KPCA,10000,24,8,2
4,KPCA,10000,9.6,0,0
4,KPCA,10000,9.6,1,0.25
4,KPCA,10000,9.6,2,0.5
4,KPCA,10000,15.17,4,1
4,KPCA,10000,24,8,2
5,KPCA,10000,9,0,0
5,KPCA,10000,9.75,3,0.75
5,KPCA,10000,24,5,1.25
6,KPCA,10000,9.6,3,0.75
6,KPCA,10000,17,5,1.25
7,KPCA,10000,9.8,0,0
7,KPCA,10000,10.17,3,0.75
7,KPCA,10000,16,5,1.25
8,KPCA,10000,9.8,0,0
8,KPCA,10000,10.1,3,0.75
8,KPCA,10000,16.1,5,1.25
