replicate,isolates,inoculum,tpos,ctz,avi
1,KPCA,10000,9.5,0,0
1,KPCA,10000,13.83,1,4
1,KPCA,10000,20,2,4
1,KPCA,10000,24,4,4
2,KPCA,10000,9.5,0,0
2,KPCA,10000,13.6,1,4
2,KPCA,10000,24,2,4
2,KPCA,10000,24,4,4
3,KPCA,10000,10.5,0,0
3,KPCA,10000,10.5,0.5,4
3,KPCA,10000,17,1,4
3,KPCA,10000,24,2,4
4,KPCA,10000,9.6,0,0
4,KPCA,10000,17.33,1,4
4,KPCA,10000,24,2,4
5,KPCA,10000,9.6,0,0
5,KPCA,10000,20.6,1,4
5,KPCA,10000,24,2,4
6,KPCA,10000,9.33,0,0
6,KPCA,10000,16.83,1,4
6,KPCA,10000,24,2,4
7,KPCA,10000,9.33,0,0
7,KPCA,10000,15.66,1,4
7,KPCA,10000,22,2,4
8,KPCA,10000,9.75,0,0
8,KPCA,10000,15.4,1,4
8,KPCA,10000,24,2,4
9,KPCA,10000,9.75,0,0
9,KPCA,10000,15.33,1,4
9,KPCA,10000,24,2,4
10,KPCA,10000,9.5,0,0
10,KPCA,10000,10,0.5,4
10,KPCA,10000,14.75,1,4
10,KPCA,10000,24,2,4
11,KPCA,10000,10,0,0
11,KPCA,10000,11,0.5,4
11,KPCA,10000,16.17,1,4
11,KPCA,10000,24,2,4
12,KPCA,10000,10,0,0
12,KPCA,10000,10.48,0.5,4
12,KPCA,10000,15,1,4
12,KPCA,10000,24,2,4
13,KPCA,10000,9.66,0,0
13,KPCA,10000,9.66,0.5,4
13,KPCA,10000,12,1,4
13,KPCA,10000,24,2,4
14,KPCA,10000,8.9,0,0
14,KPCA,10000,10.5,0.75,4
14,KPCA,10000,15.25,1.5,4
15,KPCA,10000,8.9,0,0
15,KPCA,10000,10.58,0.75,4
15,KPCA,10000,13.6,1.5,4
16,KPCA,10000,9.8,0,0
16,KPCA,10000,11.47,0.75,4
16,KPCA,10000,15.1,1.5,4
