effect,d1,d2
9.33,0,0
23,20,5
24,20,10
24,20,20
24,20,40
24,40,5
24,40,10
24,40,20
24,40,40
24,80,5
24,80,10
24,80,20
24,80,40
10,0,0
15.33,10,0.4
18,10,1.2
22,10,2.4
23.33,10,5
24,20,0.4
24,20,1.2
24,20,2.4
24,20,5
9.4,0,0
10.66,10,0.3
15.33,10,0.4
19.5,10,1.2
13.5,20,0.3
24,20,0.4
24,20,1.2
24,40,0.3
24,40,0.4
9.25,0,0
9.33,0,0.49875
9.33,0,1.995
9,0,4.9875
9.18,0,9.975
22,0,49.875
24,0,99.75
24,0,199.5
9,0,0
8.9,0,4.9875
9,0,9.975
15.33,0,19.95
24,0,99.75
24,0,199.5
9,0,0
9,0,4.9875
9,0,9.975
13.66,0,19.95
24,0,99.75
24,0,199.5
9.83,0,0
9.83,0,4.9875
9.83,0,9.975
10.83,0,19.95
12.66,0,39.9
19,0,79.8
24,0,159.6
9.83,0,0
9.66,0,9.975
10.5,0,19.95
12.6,0,39.9
20.5,0,79.8
24,0,159.6
9.5,0,0
9.25,0,9.975
11.5,0,19.95
12.83,0,39.9
19.4,0,79.8
24,0,159.6
9,0,0
9.2,0,19.95
11.3,0,39.9
22,0,79.8
24,0,159.6
9,0,0
11.2,0,39.9
24,0,79.8
24,0,159.6
9.4,0,0
11.33,0,39.9
18,0,79.8
24,0,159.6
9.4,0,0
11,0,39.9
17.17,0,79.8
24,0,159.6
9.4,0,0
9.4,0,19.95
11,0,39.9
15,0,79.8
24,0,159.6
9,0,0
24,0,49.875
24,0,59.85
24,0,79.8
9,0,0
24,0,49.875
24,0,59.85
24,0,79.8
9,0,0
23.8,0,49.875
24,0,59.85
9.33,0,0
20,0,44.8875
24,0,79.8
9.33,0,0
24,0,44.8875
24,0,79.8
9.5,0,0
21.66,0,44.8875
24,0,79.8
9.5,0,0
19.17,0,44.8875
24,0,79.8
9.1,0,0
9.1,39.9,0
13.4,79.8,0
24,159.6,0
24,319.2,0
9,0,0
9,39.9,0
13.3,79.8,0
16.6,159.6,0
24,319.2,0
9.1,0,0
9.1,39.9,0
13.25,79.8,0
17,159.6,0
24,319.2,0
9.17,0,0
9.5,39.9,0
13.5,79.8,0
24,159.6,0
24,319.2,0
9,0,0
9,39.9,0
14.17,79.8,0
24,159.6,0
24,319.2,0
9.4,0,0
24,99.75,0
24,119.7,0
9.4,0,0
22,99.75,0
24,119.7,0
9,0,0
16,99.75,0
22,119.7,0
9.66,0,0
16.66,79.8,0
24,99.75,0
9.25,0,0
17.9,79.8,0
15,79.8,0
24,159.6,0
9.33,0,0
9.2,39.9,0
14,79.8,0
24,159.6,0
