effect,d1,d2
9.6,0,0
23,0.9025,1.805
24,1.805,1.805
24,3.61,1.805
9.6,0,0
10,0.9025,0.9025
12.5,1.805,0.9025
24,3.61,0.9025
10,0,0
10,1.805,0
17,3.61,0
11,0,0.9025
12.33,1.805,0.9025
24,1.805,1.805
24,3.61,0.9025
24,3.61,1.805
9.5,0,0
9.66,1.805,0
18.5,3.61,0
10.9,0,0.9025
22,0,1.805
15,1.805,0.9025
24,1.805,1.805
24,3.61,0.9025
10,0,0
18,0,1.805
13,1.805,0.9025
24,1.805,1.805
10,0,0
17.25,0,1.805
24,1.805,1.805
9.58,0,0
15,1.805,0.9025
24,1.805,1.805
9.17,0,0
24,3.61,0.45125
24,3.61,0.9025
24,3.61,1.805
9,1.805,0.45125
11,1.805,0.9025
24,1.805,1.805
9,0.9025,0.45125
9.17,0.9025,0.9025
18.5,0.9025,1.805
9.66,0,0
24,1.805,0.9025
24,1.805,1.805
24,3.61,0.9025
24,3.61,1.805
9.9,0,0
24,1.805,0.9025
24,3.61,0.05415
24,3.61,0.1128125
24,3.61,0.225625
24,3.61,0.45125
24,3.61,0.027075
24,3.61,0.009025
9.9,0,0
21.17,1.805,0.9025
24,3.61,0.05415
24,3.61,0.1128125
24,3.61,0.225625
24,3.61,0.45125
8.8,0,0
9.66,0,0.225625
9.25,0,0.45125
9.83,0,0.9025
20,0,1.805
24,0,3.61
24,0,7.22
9.66,0,0
9.5,0,0.45125
10.17,0,0.9025
24,0,1.805
24,0,3.61
9.5,0,0
19,3.61,0
24,3.61,0.9025
24,3.61,1.805
9.5,1.805,0
24,1.805,1.805
9.5,0,0
9.5,1.805,0
19.5,1.805,0.9025
24,1.805,1.805
9.25,0,0
15.75,3.61,0
24,3.61,0.9025
24,3.61,1.805
9,0,0
15,3.61,0
24,3.61,0.9025
24,3.61,0.45125
9,0,0
15.33,3.61,0
24,3.61,0.9025
24,3.61,0.45125
9,0,0
11,2.7075,0
24,2.7075,0.45125
24,2.7075,0.9025
9.5,0,0
24,3.61,0.225625
24,3.61,0.45125
9.5,0,0
17,3.61,0.1128125
9.5,0,0
14.66,3.61,0.1128125
13,3.61,0.05415
9.5,0,0
24,2.7075,0.9025
24,2.7075,1.35375
16,3.61,0.1128125
22,3.61,0.225625
22.4,3.61,0.45125
24,3.61,0.9025
9,0,0
12.1,1.805,0.9025
24,1.805,1.35375
9.4,0,0
9.4,37.905,0
9.25,75.81,0
17.66,151.62,0
24,303.24,0
9.4,0,0
9.4,37.905,0
9.2,75.81,0
14.17,151.62,0
24,303.24,0
9.4,0,0
9.4,37.905,0
9.4,75.81,0
14.1,151.62,0
24,303.24,0
9.6,0,0
9.6,37.905,0
9.6,75.81,0
15.17,151.62,0
24,303.24,0
9,0,0
9.75,113.715,0
24,189.525,0
9.6,113.715,0
17,189.525,0
24,303.24,0
9.8,0,0
10.17,113.715,0
16,189.525,0
9.8,0,0
10.1,113.715,0
18.1,189.525,0
24,303.24,0
9.9,0,0
24,189.525,0
9.9,0,0
24,189.525,0
24,303.24,0
9.9,0,0
24,189.525,0
9.9,0,0
16,151.62,0
24,189.525,0
24,303.24,0
9.25,0,0
11,113.715,0
15.75,151.62,0
24,303.24,0
9.25,0,0
19,151.62,0
24,303.24,0
8.9,0,0
9.66,0,9.47625
9.25,0,18.9525
9.83,0,37.905
20,0,75.81
24,0,151.62
9.66,0,0
9.5,0,18.9525
10.17,0,37.905
23,0,75.81
24,0,151.62
10,0,0
11,0,37.905
9.5,0,0
10.9,0,37.905
22,0,75.81
10,0,0
10,0,37.905
18,0,75.81
10,0,0
17.25,0,75.81
9.58,0,0
10,0,37.905
20,0,75.81
9.8,0,0
10,0,18.9525
12.17,0,37.905
24,0,75.81
9.33,0,0
9.75,0,56.8575
24,0,75.81
24,0,151.62
9.5,0,0
9.25,0,56.8575
21.9,0,75.81
24,0,151.62
9.5,0,0
17,0,59.85
20,0,69.825
9.5,0,0
11.2,0,49.875
18,0,59.85
24,0,79.8
9.5,0,0
9.4,0,49.875
16,0,59.85
24,0,79.8
9,0,0
9.6,0,49.875
11,0,59.85
19,0,69.825
9.4,0,0
9.3,0,49.875
11.33,0,59.85
19,0,69.825
24,0,79.8
