isolates,effect,d1,d2
KPCB,9.25,0,0
KPCB,16.75,0.25,0.5
KPCB,17.25,0.5,0.5
KPCB,24,1,0.5
KPCB,24,2,0.5
KPCB,24,4,0.5
KPCB,24,8,0.5
KPCB,9.15,0,0
KPCB,17,0.25,0.5
KPCB,21,0.5,0.5
KPCB,9.25,0,0
KPCB,9.33,0.25,0.25
KPCB,9.5,0.5,0.25
KPCB,14.17,1,0.25
KPCB,24,2,0.25
KPCB,24,4,0.25
KPCB,9.15,0,0
KPCB,9.15,0.5,0.25
KPCB,11,1,0.25
KPCB,10,0,0
KPCB,10,1,0
KPCB,10,1,0.25
KPCB,21.5,1,0.5
KPCB,24,1,1
KPCB,9.66,0,0
KPCB,9.66,1,0
KPCB,11,2,0
KPCB,10,0,0.25
KPCB,12,0,0.5
KPCB,10,1,0.25
KPCB,23,1,0.5
KPCB,24,2,0.25
KPCB,24,2,0.5
KPCB,9,0,0
KPCB,9,1,0
KPCB,11.5,2,0
KPCB,9.5,0,0.25
KPCB,13,0,0.5
KPCB,21,1,0.5
KPCB,22,2,0.25
KPCB,24,2,0.5
KPCB,9.5,0,0
KPCB,9.5,1,0
KPCB,21,0,0.5
KPCB,24,1,0.5
KPCB,9.66,0,0
KPCB,11.25,2,0
KPCB,11.17,0,0.5
KPCB,24,1,0.5
KPCB,24,2,0.25
KPCB,9.1,0,0
KPCB,15.66,2,0
KPCB,9.5,0,0.25
KPCB,11.33,0,0.5
KPCB,24,1,0.5
KPCB,24,2,0.25
KPCB,9.83,0,0
KPCB,10,0,0.25
KPCB,13.83,0,0.5
KPCB,24,0,1
KPCB,9.83,0,0
KPCB,9.83,0,0.25
KPCB,12,0,0.5
KPCB,24,0,1
