replicate,isolates,inoculum,effect,d1,d2
1,KPCB,10000,9.25,0,0
1,KPCB,10000,16.75,9.975,19.95
1,KPCB,10000,17.25,19.95,19.95
1,KPCB,10000,24,39.9,19.95
1,KPCB,10000,24,79.8,19.95
1,KPCB,10000,24,159.6,19.95
1,KPCB,10000,9.15,0,0
2,KPCB,10000,17,9.975,19.95
2,KPCB,10000,21,19.95,19.95
2,KPCB,10000,9.25,0,0
3,KPCB,10000,9.33,9.975,19.95
3,KPCB,10000,9.5,19.95,9.975
3,KPCB,10000,14.17,39.9,9.975
3,KPCB,10000,24,79.8,9.975
3,KPCB,10000,24,159.6,9.975
3,KPCB,10000,9.15,0,0
3,KPCB,10000,9.15,19.95,9.975
4,KPCB,10000,11,39.9,9.975
4,KPCB,10000,9.9,0,0
4,KPCB,10000,9.9,39.9,4.9875
5,KPCB,10000,9.9,39.9,9.975
5,KPCB,10000,21.5,39.9,19.95
5,KPCB,10000,24,39.9,39.9
5,KPCB,10000,9.9,0,0
5,KPCB,10000,16.6,79.8,2.394
5,KPCB,10000,24,79.8,4.9875
5,KPCB,10000,22.5,79.8,9.975
6,KPCB,10000,24,79.8,19.95
6,KPCB,10000,24,79.8,39.9
6,KPCB,10000,9.66,0,0
6,KPCB,10000,10,39.9,9.975
6,KPCB,10000,23,39.9,19.95
6,KPCB,10000,24,79.8,9.975
7,KPCB,10000,9,0,0
7,KPCB,10000,21,39.9,19.95
7,KPCB,10000,22,79.8,9.975
7,KPCB,10000,9.5,0,0
7,KPCB,10000,24,39.9,19.95
7,KPCB,10000,24,79.8,9.975
7,KPCB,10000,9.66,0,0
7,KPCB,10000,24,39.9,19.95
7,KPCB,10000,24,79.8,9.975
8,KPCB,10000,9.1,0,0
8,KPCB,10000,24,39.9,19.95
8,KPCB,10000,9,0,0
8,KPCB,10000,9,19.95,9.975
8,KPCB,10000,24,19.95,19.95
8,KPCB,10000,24,19.95,39.9
8,KPCB,10000,9.5,39.9,9.975
8,KPCB,10000,24,39.9,19.95
9,KPCB,10000,24,79.8,9.975
9,KPCB,10000,24,79.8,19.95
9,KPCB,10000,9.33,0,0
9,KPCB,10000,11.5,39.9,9.975
10,KPCB,10000,24,39.9,19.95
10,KPCB,10000,24,79.8,9.975
10,KPCB,10000,24,79.8,19.95
10,KPCB,10000,9.33,0,0
10,KPCB,10000,24,79.8,9.975
11,KPCB,10000,24,79.8,19.95
11,KPCB,10000,9.1,0,0
11,KPCB,10000,9.1,39.9,0
11,KPCB,10000,13.4,79.8,0
11,KPCB,10000,24,159.6,0
11,KPCB,10000,24,319.2,0
12,KPCB,10000,9,0,0
12,KPCB,10000,9,39.9,0
12,KPCB,10000,13.3,79.8,0
12,KPCB,10000,16.6,159.6,0
12,KPCB,10000,24,319.2,0
12,KPCB,10000,9.1,0,0
12,KPCB,10000,9.1,39.9,0
12,KPCB,10000,13.25,79.8,0
12,KPCB,10000,17,159.6,0
13,KPCB,10000,24,319.2,0
13,KPCB,10000,9.17,0,0
13,KPCB,10000,9.5,39.9,0
13,KPCB,10000,13.5,79.8,0
13,KPCB,10000,24,159.6,0
13,KPCB,10000,24,319.2,0
13,KPCB,10000,9,0,0
13,KPCB,10000,9,39.9,0
14,KPCB,10000,14.17,79.8,0
14,KPCB,10000,24,159.6,0
14,KPCB,10000,24,319.2,0
14,KPCB,10000,9.4,0,0
14,KPCB,10000,24,99.75,0
14,KPCB,10000,24,119.7,0
14,KPCB,10000,9.4,0,0
1,KPCB,10000,22,99.75,0
1,KPCB,10000,24,119.7,0
1,KPCB,10000,9,0,0
1,KPCB,10000,16,99.75,0
1,KPCB,10000,22,119.7,0
2,KPCB,10000,9.66,0,0
2,KPCB,10000,16.66,79.8,0
2,KPCB,10000,24,99.75,0
2,KPCB,10000,9.25,0,0
2,KPCB,10000,17.9,79.8,0
3,KPCB,10000,15,79.8,0
3,KPCB,10000,24,159.6,0
3,KPCB,10000,9.33,0,0
3,KPCB,10000,9.2,39.9,0
3,KPCB,10000,14,79.8,0
4,KPCB,10000,24,159.6,0
4,KPCB,10000,9.66,0,0
4,KPCB,10000,10,0,9.975
4,KPCB,10000,12,0,19.95
4,KPCB,10000,24,0,31.92
5,KPCB,10000,9,0,0
5,KPCB,10000,9.5,0,9.975
5,KPCB,10000,13,0,19.95
5,KPCB,10000,24,0,31.92
5,KPCB,10000,9.5,0,0
6,KPCB,10000,21,0,19.95
6,KPCB,10000,9.66,0,0
6,KPCB,10000,11.17,0,19.95
7,KPCB,10000,9.1,0,0
7,KPCB,10000,9.5,0,9.975
7,KPCB,10000,11.33,0,19.95
8,KPCB,10000,24,0,31.92
8,KPCB,10000,9.83,0,0
8,KPCB,10000,9.83,0,2.394
9,KPCB,10000,10,0,9.975
9,KPCB,10000,13.83,0,19.95
9,KPCB,10000,24,0,39.9
10,KPCB,10000,24,0,79.8
10,KPCB,10000,9.83,0,0
10,KPCB,10000,9.66,0,2.394
10,KPCB,10000,9.83,0,9.975
11,KPCB,10000,12,0,19.95
11,KPCB,10000,24,0,39.9
11,KPCB,10000,9,0,0
11,KPCB,10000,12,0,15.96
1,KPCB,10000,24,0,23.94
1,KPCB,10000,24,0,31.92
1,KPCB,10000,9,0,0
1,KPCB,10000,18,0,15.96
2,KPCB,10000,21,0,23.94
2,KPCB,10000,24,0,31.92
