effect,d1,d2
10,0,0
14,0,40
24,0,80
24,0,200
11.5,40,5
11.6,40,10
11.4,40,20
11.4,80,5
11.5,80,10
12.3,80,20
10.1,0,0
12.4,0,20
14.6,0,40
15.4,40,40
24,80,40
10,0,0
13,80,10
14,80,20
13,160,10
16,160,20
10,0,0
19,80,40
24,160,40
10,0,0
13,0,20
15,0,40
14,80,20
22,80,40
24,160,40
9.4,0,0
12.6,0,20
16,160,20
24,160,40
10.8,0,0
10.8,200,0
16,400,0
24,600,0
24,800,0
24,1000,0
10.9,0,0
10.9,200,0
15,400,0
24,600,0
24,800,0
9.5,0,0
13,400,0
24,600,0
10,0,0
13.5,400,0
24,600,0
10,0,0
11.5,300,0
13.4,400,0
21,500,0
24,600,0
10,0,0
11,200,0
11.5,300,0
14,400,0
20,500,0
24,600,0
10,0,0
11.8,300,0
13.6,400,0
21.5,500,0
24,600,0
