effect,d1,d2,replicate,isolates,inoculum
6,0,0,2,KPCB,10000000
6.1,0,0.25,2,KPCB,10000000
6.5,0,0.5,2,KPCB,10000000
16,0,1,2,KPCB,10000000
6,1,0.25,2,KPCB,10000000
8.3,2,0.5,2,KPCB,10000000
6.3,0.5,0.5,2,KPCB,10000000
12.25,1,0.5,2,KPCB,10000000
23.8,2,0.5,2,KPCB,10000000
5.4,0,0,4,KPCB,10000000
5.4,0,0.5,4,KPCB,10000000
5.4,1,0,4,KPCB,10000000
7.5,2,0,4,KPCB,10000000
12.2,1,0.5,4,KPCB,10000000
24,2,0.5,4,KPCB,10000000
6.1,0,0,5,KPCB,10000000
6.1,0,0.25,5,KPCB,10000000
6.6,0,0.5,5,KPCB,10000000
18,0,1,5,KPCB,10000000
6.3,2,0,5,KPCB,10000000
13,2,0.25,5,KPCB,10000000
