effect,d1,d2
9.25,0,0
9.9,0.2375,0.057
9.66,0.475,0.057
13.5,0.95,0.057
24,1.9,0.057
9.25,0,0
9.33,0.2375,0.0285
9.25,0.475,0.0285
11,0.95,0.0285
20.5,1.9,0.0285
9,0,0
9,0.475,0.0285
9,0.95,0.0285
9,0.475,0.057
9,0.95,0.057
15.9,1.9,0.0285
14,1.9,0.057
9.25,0,0
9.25,0.95,0.0285
10.25,0.95,0.057
13.5,1.9,0.0285
16.5,1.9,0.057
9.25,0,0
9.33,0.95,0.0285
10.25,0.95,0.057
14.5,1.9,0.0285
18.33,1.9,0.057
10,0,0
24,0.95,0.057
24,0.95,0.11875
24,1.9,0.057
24,1.9,0.11875
9.33,0,0
11.66,0,0.0285
12.17,0,0.057
24,0,0.11875
24,0,0.2375
24,0,0.475
24,0,0.95
9,0,0
9,0,0.0285
9,0,0.057
11.6,0,0.11875
24,0,0.2375
9.25,0,0
9.25,0,0.0285
9.5,0,0.057
13.5,0,0.11875
10,0,0
10,0,0.057
12,0,0.11875
9.4,0,0
9.6,0,0.0285
9.83,0,0.057
16,0,0.11875
9.5,0,0
13.4,0.95,0.057
16.33,0.95,0.11875
21.5,1.9,0.057
24,1.9,0.11875
9,0.95,0
10.5,0,0.057
14.5,0,0.11875
11.5,0.95,0.057
17.5,0.95,0.11875
9,0,0
11.5,0.95,0.057
19.75,0.95,0.11875
9,0,0
11.4,0.95,0.057
9.33,0,0.01425
11,0,0.0285
12,0,0.057
24,0,0.2375
24,0,0.475
9,0,0
9,0,0.01425
9,0,0.0285
9,0,0.057
11.6,0,0.11875
24,0,0.2375
9.25,0,0
9.25,0,0.0285
9.5,0,0.057
13.5,0,0.11875
10,0,0
10,0,0.057
12,0,0.11875
9.4,0,0
9.6,0,0.0285
9.83,0,0.057
16,0,0.11875
24,0,0.2375
9.4,0,0
16.4,0,0.11875
9,0,0
9,0,0.0285
9.5,0,0.057
14.17,0,0.11875
23,0,0.2375
9,0,0
9,0,0.0285
12.9,0,0.095
24,0,0.19
24,0,0.2375
9.33,0,0
9.33,0,0.019
18.5,0,0.19
24,0,0.475
9.33,0,0
9.33,0,0.0285
24,0,0.19
24,0,0.475
9.1,0,0
9.1,0.95,0
13.4,1.9,0
24,3.8,0
24,7.6,0
9,0,0
9,0.95,0
13.3,1.9,0
16.6,3.8,0
24,7.6,0
9.1,0,0
9.1,0.95,0
13.25,1.9,0
17,3.8,0
24,7.6,0
9.17,0,0
9.5,0.95,0
13.5,1.9,0
24,3.8,0
24,7.6,0
9,0,0
9,0.95,0
14.17,1.9,0
24,3.8,0
24,7.6,0
9.4,0,0
24,2.375,0
24,2.85,0
9.4,0,0
22,2.375,0
24,2.85,0
9,0,0
16,2.375,0
22,2.85,0
9.66,0,0
16.66,1.9,0
24,2.375,0
9.25,0,0
17.9,1.9,0
15,1.9,0
24,3.8,0
9.33,0,0
9.2,0.95,0
14,1.9,0
24,3.8,0
