effect,d1,d2
9.33,0,0
9.17,0,39.9
9.17,0,79.8
9.17,0,159.6
10,0,399
9.58,0,0
9.58,3.99,0
9.58,19.95,0
9.58,39.9,0
9.58,59.85,0
9.58,79.8,0
10,99.75,0
9.83,199.5,0
9.58,0,0
9.25,39.9,0
9.33,59.85,0
9.17,79.8,0
9.66,99.75,0
9.66,199.5,0
9.58,0,0
9.2,19.95,0
9.12,39.9,0
9.33,59.85,0
9.17,79.8,0
9.5,199.5,0
9.33,0,0
24,79.8,19.95
24,79.8,39.9
24,79.8,79.8
19.75,39.9,19.95
24,39.9,39.9
24,39.9,79.8
24,39.9,9.975
24,39.9,4.9875
24,19.95,9.975
19,19.95,4.9875
9,0,0
24,39.9,9.975
24,39.9,4.9875
24,19.95,9.975
24,19.95,4.9875
9,0,0
24,39.9,9.975
24,39.9,4.9875
24,19.95,9.975
24,19.95,4.9875
9.66,0,0
11.83,9.975,1.197
11.83,9.975,2.394
12,9.975,4.9875
11.83,19.95,2.394
11.5,19.95,1.197
9.5,0,0
11.83,9.975,1.197
11.83,9.975,2.394
11.83,19.95,2.394
9,0,0
11.5,9.975,1.197
9.3,0,0
13.33,39.9,4.9875
13.25,19.95,4.9875
13.1,19.95,2.394
13.5,9.975,9.975
13.17,39.9,2.394
13,39.9,1.197
9.3,0,0
13.5,39.9,4.9875
13.25,19.95,4.9875
13.66,19.95,2.394
13.17,9.975,9.975
13,39.9,2.394
13,39.9,1.197
9.3,0,0
13.5,39.9,2.394
12.75,19.95,4.9875
13.6,39.9,4.9875
9.75,0,0
24,19.95,2.394
24,19.95,4.9875
24,19.95,9.975
24,39.9,2.394
24,39.9,4.9875
24,39.9,9.975
24,39.9,19.95
24,19.95,7.98
24,39.9,7.98
9.75,0,0
12.4,9.975,4.9875
24,19.95,2.394
24,19.95,4.9875
24,19.95,9.975
24,39.9,2.394
24,39.9,4.9875
24,19.95,7.98
24,39.9,7.98
9.9,0,0
16,19.95,2.394
24,19.95,3.99
24,19.95,4.9875
24,39.9,2.394
24,39.9,3.99
24,39.9,4.9875
9.9,0,0
24,19.95,2.394
24,19.95,3.99
16,19.95,4.9875
24,39.9,2.394
24,39.9,3.99
24,39.9,4.9875
9.9,0,0
24,19.95,3.99
24,39.9,3.99
