replicate,effect,d1,d2
1,9.6,0,0
1,23,0.95,1.9
1,24,1.9,1.9
1,24,3.8,1.9
2,9.6,0,0
2,10,0.95,0.95
2,12.5,1.9,0.95
2,24,3.8,0.95
3,10,0,0
3,10,1.9,0
3,17,3.8,0
3,11,0,0.95
3,12.33,1.9,0.95
3,24,1.9,1.9
3,24,3.8,0.95
3,24,3.8,1.9
4,9.5,0,0
4,9.66,1.9,0
4,18.5,3.8,0
4,10.9,0,0.95
4,22,0,1.9
4,15,1.9,0.95
4,24,1.9,1.9
4,24,3.8,0.95
5,10,0,0
5,18,0,1.9
5,13,1.9,0.95
5,24,1.9,1.9
6,10,0,0
6,17.25,0,1.9
6,24,1.9,1.9
7,9.58,0,0
7,15,1.9,0.95
7,24,1.9,1.9
8,9.17,0,0
8,24,3.8,0.475
8,24,3.8,0.95
8,24,3.8,1.9
8,9,1.9,0.475
8,11,1.9,0.95
8,24,1.9,1.9
8,9,0.95,0.475
8,9.17,0.95,0.95
8,18.5,0.95,1.9
9,9.66,0,0
9,24,1.9,0.95
9,24,1.9,1.9
9,24,3.8,0.95
9,24,3.8,1.9
10,9.9,0,0
10,24,1.9,0.95
10,24,3.8,0.057
10,24,3.8,0.11875
10,24,3.8,0.2375
10,24,3.8,0.475
10,24,3.8,0.0285
10,24,3.8,0.0095
11,9.9,0,0
11,21.17,1.9,0.95
11,24,3.8,0.057
11,24,3.8,0.11875
11,24,3.8,0.2375
11,24,3.8,0.475
12,8.8,0,0
12,9.66,0,0.2375
12,9.25,0,0.475
12,9.83,0,0.95
12,20,0,1.9
12,24,0,3.8
12,24,0,7.6
13,9.66,0,0
13,9.5,0,0.475
13,10.17,0,0.95
13,24,0,1.9
13,24,0,3.8
14,9.5,0,0
14,19,3.8,0
14,24,3.8,0.95
14,24,3.8,1.9
14,9.5,1.9,0
14,24,1.9,1.9
15,9.5,0,0
15,9.5,1.9,0
15,19.5,1.9,0.95
15,24,1.9,1.9
16,9.25,0,0
16,15.75,3.8,0
16,24,3.8,0.95
16,24,3.8,1.9
17,9,0,0
17,15,3.8,0
17,24,3.8,0.95
17,24,3.8,0.475
18,9,0,0
18,15.33,3.8,0
18,24,3.8,0.95
18,24,3.8,0.475
19,9,0,0
19,11,2.85,0
19,24,2.85,0.475
19,24,2.85,0.95
20,9.5,0,0
20,24,3.8,0.2375
20,24,3.8,0.475
21,9.5,0,0
21,17,3.8,0.11875
22,9.5,0,0
22,14.66,3.8,0.11875
22,13,3.8,0.057
23,9.5,0,0
23,24,2.85,0.95
23,24,2.85,1.425
23,16,3.8,0.11875
23,22,3.8,0.2375
23,22.4,3.8,0.475
23,24,3.8,0.95
24,9,0,0
24,12.1,1.9,0.95
24,24,1.9,1.425
,9.4,0,0
,9.4,0.95,0
,9.25,1.9,0
,17.66,3.8,0
,24,7.6,0
,9.4,0,0
,9.4,0.95,0
,9.2,1.9,0
,14.17,3.8,0
,24,7.6,0
,9.4,0,0
,9.4,0.95,0
,9.4,1.9,0
,14.1,3.8,0
,24,7.6,0
,9.6,0,0
,9.6,0.95,0
,9.6,1.9,0
,15.17,3.8,0
,24,7.6,0
,9,0,0
,9.75,2.85,0
,24,4.75,0
,9.6,2.85,0
,17,4.75,0
,24,7.6,0
,9.8,0,0
,10.17,2.85,0
,16,4.75,0
,9.8,0,0
,10.1,2.85,0
,18.1,4.75,0
,24,7.6,0
,9.9,0,0
,24,4.75,0
,9.9,0,0
,24,4.75,0
,24,7.6,0
,9.9,0,0
,24,4.75,0
,9.9,0,0
,16,3.8,0
,24,4.75,0
,24,7.6,0
,9.25,0,0
,11,2.85,0
,15.75,3.8,0
,24,7.6,0
,9.25,0,0
,19,3.8,0
,24,7.6,0
,8.9,0,0
,9.66,0,0.2375
,9.25,0,0.475
,9.83,0,0.95
,20,0,1.9
,24,0,3.8
,9.66,0,0
,9.5,0,0.475
,10.17,0,0.95
,23,0,1.9
,24,0,3.8
,10,0,0
,11,0,0.95
,9.5,0,0
,10.9,0,0.95
,22,0,1.9
,10,0,0
,10,0,0.95
,18,0,1.9
,10,0,0
,17.25,0,1.9
,9.58,0,0
,10,0,0.95
,20,0,1.9
,9.8,0,0
,10,0,0.475
,12.17,0,0.95
,24,0,1.9
,9.33,0,0
,10.75,0,1.425
,24,0,1.9
,24,0,3.8
,9.5,0,0
,10.25,0,1.425
,21.9,0,1.9
,24,0,3.8
,9.5,0,0
,17,0,1.425
,20,0,1.6625
,9.5,0,0
,11.2,0,1.1875
,18,0,1.425
,24,0,1.9
,9.5,0,0
,9.4,0,1.1875
,16,0,1.425
,24,0,1.9
,9,0,0
,9.6,0,1.1875
,11,0,1.425
,19,0,1.6625
,9.4,0,0
,9.3,0,1.1875
,11.33,0,1.425
,19,0,1.6625
,24,0,1.9
