effect,d1,d2
6,0,0
6.1,0,10.5
6.5,0,21
16,0,42
6,42,10.5
8.3,84,21
6.3,21,21
12.25,42,21
23.8,84,21
5.4,0,0
5.4,0,21
5.4,42,0
7.5,84,0
12.2,42,21
24,84,21
6.1,0,0
6.1,0,10.5
6.6,0,21
18,0,42
6.3,84,0
13,84,10.5
5.88,0,0
5.83,9.975,0
6,19.95,0
5.9,39.9,0
7.44,79.8,0
16.5,159.6,0
24,319.2,0
5.8,0,0
5.66,9.975,0
5.66,19.95,0
5.66,39.9,0
8,79.8,0
14.17,159.6,0
24,319.2,0
6,0,0
6.1,0,10
6.5,0,20
16,0,40
6,40,10
8.3,80,20
6.3,20,20
12.25,40,20
23.8,80,20
5.4,0,0
5.4,0,20
5.4,40,0
7.5,80,0
12.2,40,20
24,80,20
6.1,0,0
6.1,0,10
6.6,0,20
18,0,40
6.3,80,0
13,80,10
5.5,0,0
19,0,40
24,40,40
13.3,80,10
24,80,40
6,0,0
8,0,20
21,0,40
16.4,40,20
24,80,20
5.6,0,0
6,0,10
8,0,20
21,0,40
24,0,80
6,0,0
18.2,80,10
24,80,20
24,80,40
9,40,10
16.6,40,20
24,40,40
6,0,0
8.4,0,20
20,0,40
24,0,80
