diluent,replicate,isolates,inoculum,tpos,inoculum_adj
pbs,1,KPC_ATCC,300000000,4.77,9375000
pbs,1,KPC_ATCC,30000000,5.58,937500
pbs,1,KPC_ATCC,3000000,6.2,93750
pbs,1,KPC_ATCC,300000,7.25,9375
pbs,1,KPC_ATCC,30000,8.07,937.5
pbs,1,KPC_ATCC,3000,8.72,93.75
pbs,1,KPC_ATCC,300,9.4,9.375
pbs,1,KPC_ATCC,30,10.07,1
serum,2,KPC_ATCC,300000000,5.05,9375000
serum,2,KPC_ATCC,30000000,5.87,937500
serum,2,KPC_ATCC,3000000,6.87,93750
serum,2,KPC_ATCC,300000,7.03,9375
serum,2,KPC_ATCC,30000,7.7,937.5
serum,2,KPC_ATCC,3000,8.35,93.75
serum,2,KPC_ATCC,300,8.85,9.375
serum,2,KPC_ATCC,30,9.35,1
pbs,3,KPC_ATCC,300000000,5.07,9375000
pbs,3,KPC_ATCC,30000000,5.9,937500
pbs,3,KPC_ATCC,3000000,6.38,93750
pbs,3,KPC_ATCC,300000,7.38,9375
pbs,3,KPC_ATCC,30000,,937.5
pbs,3,KPC_ATCC,3000,,93.75
pbs,3,KPC_ATCC,300,,9.375
pbs,3,KPC_ATCC,30,,1
serum,4,KPC_ATCC,300000000,4.68,9375000
serum,4,KPC_ATCC,30000000,5.52,937500
serum,4,KPC_ATCC,3000000,6.35,93750
serum,4,KPC_ATCC,300000,7,9375
serum,4,KPC_ATCC,30000,,937.5
serum,4,KPC_ATCC,3000,,93.75
serum,4,KPC_ATCC,300,,9.375
serum,4,KPC_ATCC,30,,1
pbs,1,KPC_ATCC,300000000,4.57,9375000
pbs,1,KPC_ATCC,30000000,5.57,937500
pbs,1,KPC_ATCC,3000000,6.4,93750
pbs,1,KPC_ATCC,300000,7.22,9375
pbs,1,KPC_ATCC,30000,7.87,937.5
pbs,1,KPC_ATCC,3000,8.53,93.75
pbs,1,KPC_ATCC,300,9.38,9.375
pbs,1,KPC_ATCC,30,10.22,1
serum,2,KPC_ATCC,300000000,4.68,9375000
serum,2,KPC_ATCC,30000000,5.68,937500
serum,2,KPC_ATCC,3000000,6.68,93750
serum,2,KPC_ATCC,300000,7.17,9375
serum,2,KPC_ATCC,30000,,937.5
serum,2,KPC_ATCC,3000,,93.75
serum,2,KPC_ATCC,300,,9.375
serum,2,KPC_ATCC,30,,1
pbs,3,KPC_ATCC,300000000,5.02,9375000
pbs,3,KPC_ATCC,30000000,5.68,937500
pbs,3,KPC_ATCC,3000000,6.68,93750
pbs,3,KPC_ATCC,300000,7.17,9375
pbs,3,KPC_ATCC,30000,,937.5
pbs,3,KPC_ATCC,3000,,93.75
pbs,3,KPC_ATCC,300,,9.375
pbs,3,KPC_ATCC,30,,1
serum,1,KPC_ATCC,300000000,4.62,9375000
serum,1,KPC_ATCC,30000000,5.58,937500
serum,1,KPC_ATCC,3000000,6.45,93750
serum,1,KPC_ATCC,300000,7.1,9375
serum,1,KPC_ATCC,30000,8.28,937.5
serum,1,KPC_ATCC,3000,8.73,93.75
serum,1,KPC_ATCC,300,9.1,9.375
serum,1,KPC_ATCC,30,9.43,1
pbs,2,KPC_ATCC,300000000,4.88,9375000
pbs,2,KPC_ATCC,30000000,5.72,937500
pbs,2,KPC_ATCC,3000000,6.38,93750
pbs,2,KPC_ATCC,300000,7.2,9375
pbs,2,KPC_ATCC,30000,,937.5
pbs,2,KPC_ATCC,3000,,93.75
pbs,2,KPC_ATCC,300,,9.375
pbs,2,KPC_ATCC,30,,1
serum,3,KPC_ATCC,300000000,4.85,9375000
serum,3,KPC_ATCC,30000000,5.68,937500
serum,3,KPC_ATCC,3000000,6.33,93750
serum,3,KPC_ATCC,300000,7,9375
serum,3,KPC_ATCC,30000,,937.5
serum,3,KPC_ATCC,3000,,93.75
serum,3,KPC_ATCC,300,,9.375
serum,3,KPC_ATCC,30,,1
pbs,1,KPC_ATCC,300000000,4.68,9375000
pbs,1,KPC_ATCC,30000000,5.52,937500
pbs,1,KPC_ATCC,3000000,6.33,93750
pbs,1,KPC_ATCC,300000,7.17,9375
pbs,1,KPC_ATCC,30000,,937.5
pbs,1,KPC_ATCC,3000,,93.75
pbs,1,KPC_ATCC,300,,9.375
pbs,1,KPC_ATCC,30,,1
serum,2,KPC_ATCC,300000000,4.57,9375000
serum,2,KPC_ATCC,30000000,5.07,937500
serum,2,KPC_ATCC,3000000,6.23,93750
serum,2,KPC_ATCC,300000,6.72,9375
serum,2,KPC_ATCC,30000,,937.5
serum,2,KPC_ATCC,3000,,93.75
serum,2,KPC_ATCC,300,,9.375
serum,2,KPC_ATCC,30,,1
pbs,1,KPC_ATCC,300000000,4.58,9375000
pbs,1,KPC_ATCC,30000000,,937500
pbs,1,KPC_ATCC,3000000,6.07,93750
pbs,1,KPC_ATCC,300000,7.07,9375
pbs,1,KPC_ATCC,30000,,937.5
pbs,1,KPC_ATCC,3000,,93.75
pbs,1,KPC_ATCC,300,,9.375
pbs,1,KPC_ATCC,30,,1
serum,2,KPC_ATCC,300000000,4.57,9375000
serum,2,KPC_ATCC,30000000,5.07,937500
serum,2,KPC_ATCC,3000000,6.4,93750
serum,2,KPC_ATCC,300000,6.72,9375
serum,2,KPC_ATCC,30000,,937.5
serum,2,KPC_ATCC,3000,,93.75
serum,2,KPC_ATCC,300,,9.375
serum,2,KPC_ATCC,30,,1
pbs,1,KP_KPC_C,300000000,4.98,9375000
pbs,1,KP_KPC_C,30000000,6.12,937500
pbs,1,KP_KPC_C,3000000,6.78,93750
pbs,1,KP_KPC_C,300000,7.48,9375
pbs,1,KP_KPC_C,30000,8.47,937.5
pbs,1,KP_KPC_C,3000,8.63,93.75
pbs,1,KP_KPC_C,300,9.47,9.375
pbs,1,KP_KPC_C,30,,1
pbs,2,KP_KPC_C,300000000,5.22,9375000
pbs,2,KP_KPC_C,30000000,5.92,937500
pbs,2,KP_KPC_C,3000000,7.02,93750
pbs,2,KP_KPC_C,300000,8.04,9375
pbs,2,KP_KPC_C,30000,9.53,937.5
pbs,2,KP_KPC_C,3000,9.85,93.75
pbs,2,KP_KPC_C,300,10.56,9.375
pbs,2,KP_KPC_C,30,,1
pbs,1,KP_KPC_C,300000000,4.92,9375000
pbs,1,KP_KPC_C,30000000,5.93,937500
pbs,1,KP_KPC_C,3000000,6.92,93750
pbs,1,KP_KPC_C,300000,7.92,9375
pbs,1,KP_KPC_C,30000,8.9,937.5
pbs,1,KP_KPC_C,3000,9.82,93.75
pbs,1,KP_KPC_C,300,10.87,9.375
pbs,1,KP_KPC_C,30,,1
pbs,1,KP_KPC_C,300000000,5,9375000
pbs,1,KP_KPC_C,30000000,6.17,937500
pbs,1,KP_KPC_C,3000000,7.32,93750
pbs,1,KP_KPC_C,300000,7.98,9375
pbs,1,KP_KPC_C,30000,8.47,937.5
pbs,1,KP_KPC_C,3000,8.82,93.75
pbs,1,KP_KPC_C,300,9.15,9.375
pbs,1,KP_KPC_C,30,,1
pbs,1,KP_KPC_A,300000000,4.7,9375000
pbs,1,KP_KPC_A,30000000,6,937500
pbs,1,KP_KPC_A,3000000,7.02,93750
pbs,1,KP_KPC_A,300000,8.25,9375
pbs,1,KP_KPC_A,30000,9.02,937.5
pbs,1,KP_KPC_A,3000,,93.75
pbs,1,KP_KPC_A,300,,9.375
pbs,1,KP_KPC_A,30,,1
serum,2,KP_KPC_A,300000000,4.67,9375000
serum,2,KP_KPC_A,30000000,5.75,937500
serum,2,KP_KPC_A,3000000,6.75,93750
serum,2,KP_KPC_A,300000,7.8,9375
serum,2,KP_KPC_A,30000,8.75,937.5
serum,2,KP_KPC_A,3000,,93.75
serum,2,KP_KPC_A,300,,9.375
serum,2,KP_KPC_A,30,,1
pbs,1,KP_KPC_B,300000000,4.8,9375000
pbs,1,KP_KPC_B,30000000,5.97,937500
pbs,1,KP_KPC_B,3000000,6.97,93750
pbs,1,KP_KPC_B,300000,7.82,9375
pbs,1,KP_KPC_B,30000,8.83,937.5
pbs,1,KP_KPC_B,3000,,93.75
pbs,1,KP_KPC_B,300,,9.375
pbs,1,KP_KPC_B,30,,1
serum,2,KP_KPC_B,300000000,4.67,9375000
