replicate,isolate,inoculum,tpos,conc,logconc
1,KPCB,10000,8.46,0,-2
1,KPCB,10000,8.33,0.25,-0.602059991
1,KPCB,10000,8.33,0.5,-0.301029996
1,KPCB,10000,8.5,1,0
1,KPCB,10000,14,2,0.301029996
1,KPCB,10000,24,4,0.602059991
2,KPCB,10000,9,0,-2
2,KPCB,10000,8.66,0.25,-0.602059991
2,KPCB,10000,8.66,0.5,-0.301029996
2,KPCB,10000,8.66,1,0
2,KPCB,10000,14.17,2,0.301029996
2,KPCB,10000,24,4,0.602059991
3,KPCB,10000,9.58,0,-2
3,KPCB,10000,9.48,0.25,-0.602059991
3,KPCB,10000,9.5,0.5,-0.301029996
3,KPCB,10000,10.5,1,0
3,KPCB,10000,15.6,2,0.301029996
3,KPCB,10000,24,4,0.602059991
4,KPCB,10000,9.1,0,-2
4,KPCB,10000,9.1,0.25,-0.602059991
4,KPCB,10000,9.1,0.5,-0.301029996
4,KPCB,10000,9.2,1,0
4,KPCB,10000,14.5,2,0.301029996
4,KPCB,10000,24,4,0.602059991
5,KPCB,10000,9.1,0,-2
5,KPCB,10000,9.1,0.25,-0.602059991
5,KPCB,10000,9.1,0.5,-0.301029996
5,KPCB,10000,9.1,1,0
5,KPCB,10000,13.66,2,0.301029996
5,KPCB,10000,24,4,0.602059991
