isolate,mer,tpos
KPC_ATCC,0,8.83
KPC_ATCC,0.1,8.72
KPC_ATCC,0.5,8.72
KPC_ATCC,1,10.22
KPC_ATCC,2,24
KPC_ATCC,5,24
KPC_ATCC,10,24
KPC_ATCC,20,24
KPC_ATCC,40,24
KPC_ATCC,50,24
KPC_ATCC,80,24
KPC_ATCC,100,24
KPC_ATCC,160,
KPC_ATCC,200,
KPC_ATCC,250,
KPC_ATCC,320,
KPC_ATCC,500,
KPC_ATCC,0,9.07
KPC_ATCC,0.1,9
KPC_ATCC,0.5,8.98
KPC_ATCC,1,9.66
KPC_ATCC,2,20
KPC_ATCC,5,24
KPC_ATCC,10,24
KPC_ATCC,20,24
KPC_ATCC,40,24
KPC_ATCC,50,24
KPC_ATCC,80,24
KPC_ATCC,100,24
KPC_ATCC,160,
KPC_ATCC,200,
KPC_ATCC,250,
KPC_ATCC,320,
KPC_ATCC,500,
,0,9.63
KPC_ATCC,1,9.33
KPC_ATCC,2,9.33
KPC_ATCC,5,10.3
KPC_ATCC,10,16.83
KPC_ATCC,20,24
KPC_ATCC,40,24
KPC_ATCC,50,24
KPC_ATCC,80,24
KPC_ATCC,100,24
KPC_ATCC,160,
KPC_ATCC,200,
KPC_ATCC,250,
KPC_ATCC,320,
KPC_ATCC,500,
,0,
KPC_ATCC,1,9
KPC_ATCC,2,9
KPC_ATCC,5,9.66
KPC_ATCC,10,16.83
KPC_ATCC,20,24
KPC_ATCC,40,24
KPC_ATCC,50,24
KPC_ATCC,80,24
KPC_ATCC,100,
KPC_ATCC,160,
KPC_ATCC,200,
KPC_ATCC,250,
KPC_ATCC,320,
KPC_ATCC,500,
,0,9.92
KPC_ATCC,1,10
KPC_ATCC,2,9.83
KPC_ATCC,5,10.5
KPC_ATCC,10,19.1
KPC_ATCC,20,24
KPC_ATCC,40,24
KPC_ATCC,50,24
KPC_ATCC,80,24
KPC_ATCC,100,24
KPC_ATCC,160,24
KPC_ATCC,200,
KPC_ATCC,250,
KPC_ATCC,320,
KPC_ATCC,500,
