diluent,replicate,isolates,inoculum,tpos
pbs,1,KPC_ATCC,300000000,4.77
pbs,1,KPC_ATCC,30000000,5.58
pbs,1,KPC_ATCC,3000000,6.2
pbs,1,KPC_ATCC,300000,7.25
pbs,1,KPC_ATCC,30000,8.07
pbs,1,KPC_ATCC,3000,8.72
pbs,1,KPC_ATCC,300,9.4
pbs,1,KPC_ATCC,30,10.07
serum,2,KPC_ATCC,300000000,5.05
serum,2,KPC_ATCC,30000000,5.87
serum,2,KPC_ATCC,3000000,6.87
serum,2,KPC_ATCC,300000,7.03
serum,2,KPC_ATCC,30000,7.7
serum,2,KPC_ATCC,3000,8.35
serum,2,KPC_ATCC,300,8.85
serum,2,KPC_ATCC,30,9.35
pbs,3,KPC_ATCC,300000000,5.07
pbs,3,KPC_ATCC,30000000,5.9
pbs,3,KPC_ATCC,3000000,6.38
pbs,3,KPC_ATCC,300000,7.38
pbs,3,KPC_ATCC,30000,
pbs,3,KPC_ATCC,3000,
pbs,3,KPC_ATCC,300,
pbs,3,KPC_ATCC,30,
serum,4,KPC_ATCC,300000000,4.68
serum,4,KPC_ATCC,30000000,5.52
serum,4,KPC_ATCC,3000000,6.35
serum,4,KPC_ATCC,300000,7
serum,4,KPC_ATCC,30000,
serum,4,KPC_ATCC,3000,
serum,4,KPC_ATCC,300,
serum,4,KPC_ATCC,30,
pbs,1,KPC_ATCC,300000000,4.57
pbs,1,KPC_ATCC,30000000,5.57
pbs,1,KPC_ATCC,3000000,6.4
pbs,1,KPC_ATCC,300000,7.22
pbs,1,KPC_ATCC,30000,7.87
pbs,1,KPC_ATCC,3000,8.53
pbs,1,KPC_ATCC,300,9.38
pbs,1,KPC_ATCC,30,10.22
serum,2,KPC_ATCC,300000000,4.68
serum,2,KPC_ATCC,30000000,5.68
serum,2,KPC_ATCC,3000000,6.68
serum,2,KPC_ATCC,300000,7.17
serum,2,KPC_ATCC,30000,
serum,2,KPC_ATCC,3000,
serum,2,KPC_ATCC,300,
serum,2,KPC_ATCC,30,
pbs,3,KPC_ATCC,300000000,5.02
pbs,3,KPC_ATCC,30000000,5.68
pbs,3,KPC_ATCC,3000000,6.68
pbs,3,KPC_ATCC,300000,7.17
pbs,3,KPC_ATCC,30000,
